key1_id	key2_wkr_id	fraction	residents	error	method
2	2	0.999422	234252.1	0.000577	point
25	24	0.999903	234220.4	0.000097	point
7	7	0.995671	319081.1	0.004290	point
27	26	0.999420	229416.7	0.000579	point
27	24	0.000315	72.2	0.000000	point
25	26	0.000061	14.2	0.000000	point
25	25	0.000037	8.6	0.000000	point
26	25	0.998634	316587.5	0.001364	point
26	24	0.001038	329.0	0.000001	point
33	32	0.998090	318474.4	0.001905	point
26	32	0.000110	35.0	0.000000	point
33	25	0.000438	139.6	0.000000	point
28	27	0.993827	297457.0	0.006128	point
26	27	0.000068	21.4	0.000000	point
33	27	0.000594	189.6	0.000000	point
28	32	0.000333	99.7	0.000000	point
26	26	0.000022	6.9	0.000000	point
27	25	0.000021	4.8	0.000000	point
29	28	0.997802	295874.1	0.002179	point
27	28	0.000036	8.2	0.000000	point
29	27	0.000320	94.9	0.000000	point
28	28	0.005807	1738.2	0.000034	point
28	26	0.000032	9.7	0.000000	point
27	27	0.000209	47.9	0.000000	point
29	32	0.000245	72.6	0.000000	point
33	28	0.000200	63.8	0.000000	point
34	33	0.997606	246241.5	0.002374	point
33	38	0.000679	216.6	0.000001	point
38	38	0.999015	261639.3	0.000979	point
38	32	0.000421	110.2	0.000000	point
32	31	0.999621	319740.8	0.000378	point
32	25	0.000121	38.8	0.000000	point
26	31	0.000129	40.9	0.000000	point
90	88	0.999396	257659.6	0.000604	point
88	86	0.998815	259856.2	0.001182	point
89	87	0.998788	312860.4	0.001209	point
89	86	0.001195	374.3	0.000002	point
91	89	0.999641	274960.7	0.000359	point
91	87	0.000061	16.9	0.000000	point
88	87	0.001185	308.3	0.000001	point
90	87	0.000449	115.7	0.000000	point
112	110	0.987963	293011.7	0.011848	point
112	88	0.000007	2.1	0.000000	point
113	111	0.996254	313634.8	0.003728	point
127	125	0.998956	261461.4	0.001042	point
114	112	0.997463	256861.8	0.002521	point
127	112	0.000381	99.8	0.000000	point
114	111	0.000974	250.8	0.000001	point
127	111	0.000036	9.4	0.000000	point
113	125	0.000034	10.6	0.000000	point
113	112	0.001465	461.3	0.000003	point
114	125	0.000454	116.9	0.000000	point
118	116	0.981992	273301.6	0.017325	point
118	112	0.000111	30.9	0.000000	point
117	115	0.983613	219046.3	0.013758	point
117	116	0.007706	1716.0	0.000047	point
118	115	0.003423	952.7	0.000013	point
114	116	0.000798	205.5	0.000001	point
125	123	0.998756	276256.1	0.001242	point
125	125	0.000185	51.2	0.000000	point
128	126	0.998698	249131.7	0.001298	point
128	125	0.000026	6.5	0.000000	point
127	126	0.000298	77.9	0.000000	point
126	124	0.988181	262260.3	0.011456	point
126	125	0.000024	6.3	0.000000	point
114	124	0.000122	31.5	0.000000	point
126	112	0.000033	8.7	0.000000	point
126	116	0.005597	1485.4	0.000030	point
124	122	0.972325	256867.8	0.026180	point
